DATA	COD_ITEM	COD_VENDEDOR	VOLUME_META	RECEITA_META	VOLUME_FATURADO	RECEITA_FATURADO
1/3/2002	AC08	13	13	6630	6	3102
1/3/2002	AC08	18	9	4590	6	3559
1/3/2002	AC08	28	14	7140	7	2981
1/3/2002	AC08	1033	5	2550	4	1844
1/3/2002	FB04	6	13	6825	7	4220
1/3/2002	FB06	23	7	4900	24	18798
1/3/2002	FC04	3	12	3600	3	907
1/3/2002	FC04	25	12	3600	12	3123
1/3/2002	LB08	6	2	1800	12	12485
1/3/2002	LC06	1	7	4480	9	5518
1/3/2002	LC06	7	6	3840	9	5939
1/3/2002	LC06	14	9	5760	7	5957
1/3/2002	LC06	17	11	7040	11	6552
1/3/2002	LC06	1004	4	2560	4	3024
1/3/2002	LC06	1033	5	3200	10	6643
1/3/2002	RB44	13	2	2300	8	7297
1/3/2002	RB44	1032	14	16100	7	7796
1/3/2002	RC27	5	13	6370	14	7571
1/3/2002	RC27	1033	12	5880	7	3727
1/3/2002	RC32	3	8	4720	2	1275
2/3/2002	AC08	16	1	510	12	6635
2/3/2002	AC08	23	7	3570	9	5442
2/3/2002	AC08	28	3	1530	10	6039
2/3/2002	AC08	1033	10	5100	13	7920
2/3/2002	FB04	17	12	6300	11	5319
2/3/2002	FB04	1004	9	4725	3	1356
2/3/2002	FB06	6	3	2100	15	9586
2/3/2002	FB06	23	10	7000	15	11629
2/3/2002	FB06	24	3	2100	2	1451
2/3/2002	FC04	1	24	7200	14	5340
2/3/2002	FC04	15	12	3600	6	1714
2/3/2002	FC04	18	4	1200	10	2540
2/3/2002	FC04	29	12	3600	11	4447
2/3/2002	LB08	9	6	5400	14	14620
2/3/2002	LB08	16	1	900	15	11866
2/3/2002	LB08	28	4	3600	4	3896
2/3/2002	LC06	18	11	7040	13	7692
2/3/2002	LC06	24	14	8960	4	2429
2/3/2002	LC06	32	10	6400	6	4664
2/3/2002	LC06	1033	7	4480	15	11224
2/3/2002	RB38	3	10	8800	2	1691
2/3/2002	RB38	13	12	10560	1	847
2/3/2002	RB44	3	2	2300	12	11010
2/3/2002	RB44	6	3	3450	11	14542
2/3/2002	RB44	16	1	1150	6	6406
2/3/2002	RB44	23	13	14950	7	7052
2/3/2002	RB44	1004	2	2300	5	5753
2/3/2002	RC27	5	4	1960	8	3919
2/3/2002	RC27	17	5	2450	2	1135
2/3/2002	RC27	24	3	1470	8	3968
2/3/2002	RC27	25	1	490	8	3519
2/3/2002	RC27	29	5	2450	10	5122
2/3/2002	RC32	7	7	4130	6	3809
2/3/2002	RC32	25	11	6490	11	7777
2/3/2002	RC32	1005	1	590	4	2091
3/3/2002	AC08	3	7	3570	7	4013
3/3/2002	AC08	15	2	1020	10	4757
3/3/2002	AC08	16	12	6120	6	3160
3/3/2002	AC08	28	13	6630	14	7924
3/3/2002	FB04	13	15	7875	12	6874
3/3/2002	FB04	15	8	4200	6	3644
3/3/2002	FB04	1005	1	525	2	844
3/3/2002	FB06	3	8	5600	5	4387
3/3/2002	FB06	7	19	13300	21	17661
3/3/2002	FB06	32	3	2100	9	7161
3/3/2002	FC04	13	15	4500	12	3953
3/3/2002	FC04	18	2	600	1	264
3/3/2002	FC04	24	7	2100	6	2289
3/3/2002	FC04	28	5	1500	15	4009
3/3/2002	FC04	1007	12	3600	8	2564
3/3/2002	FC04	1018	3	900	8	2125
3/3/2002	LB08	2	10	9000	18	15662
3/3/2002	LB08	24	14	12600	10	8311
3/3/2002	LB08	1004	9	8100	6	6744
3/3/2002	LB08	1005	3	2700	3	2697
3/3/2002	LB08	1007	12	10800	1	774
3/3/2002	LC06	2	13	8320	5	4112
3/3/2002	LC06	14	14	8960	3	1942
3/3/2002	LC06	17	12	7680	25	16602
3/3/2002	LC06	28	5	3200	10	6844
3/3/2002	LC06	29	8	5120	9	6156
3/3/2002	RB38	14	5	4400	14	12486
3/3/2002	RB38	17	3	2640	4	3941
3/3/2002	RB38	32	2	1760	5	3950
3/3/2002	RB44	6	6	6900	5	4850
3/3/2002	RB44	17	6	6900	9	10023
3/3/2002	RC27	7	15	7350	7	3055
3/3/2002	RC27	24	13	6370	2	1099
3/3/2002	RC32	3	3	1770	11	6292
3/3/2002	RC32	5	9	5310	8	4273
3/3/2002	RC32	23	6	3540	13	7955
3/3/2002	RC32	29	9	5310	10	6131
4/3/2002	AC08	17	8	4080	8	3544
4/3/2002	AC08	28	14	7140	2	926
4/3/2002	AC08	32	5	2550	2	993
4/3/2002	FB04	23	12	6300	2	918
4/3/2002	FB06	16	12	8400	10	6036
4/3/2002	FB06	24	9	6300	15	13048
4/3/2002	FB06	28	8	5600	8	6240
4/3/2002	FC04	7	9	2700	19	8050
4/3/2002	FC04	13	10	3000	4	1061
4/3/2002	FC04	18	1	300	3	1004
4/3/2002	LB08	6	3	2700	2	1970
4/3/2002	LB08	23	11	9900	4	4562
4/3/2002	LB08	24	13	11700	10	10119
4/3/2002	LC06	5	10	6400	14	11102
4/3/2002	LC06	6	19	12160	21	15129
4/3/2002	LC06	9	3	1920	1	834
4/3/2002	LC06	1004	10	6400	15	12437
4/3/2002	LC06	1005	14	8960	12	7919
4/3/2002	LC06	1264	9	5760	4	2334
4/3/2002	RB38	6	2	1760	2	1773
4/3/2002	RB38	29	11	9680	12	9637
4/3/2002	RB44	17	4	4600	5	5629
4/3/2002	RB44	1004	12	13800	7	8043
4/3/2002	RC32	3	11	6490	11	7049
4/3/2002	RC32	24	1	590	10	6935
5/3/2002	AC08	3	14	7140	2	1193
5/3/2002	AC08	7	1	510	11	6455
5/3/2002	AC08	9	4	2040	2	900
5/3/2002	AC08	15	4	2040	4	2220
5/3/2002	AC08	18	5	2550	9	3908
5/3/2002	AC08	1032	14	7140	12	6417
5/3/2002	FB04	24	14	7350	4	2084
5/3/2002	FB04	1007	13	6825	12	5121
5/3/2002	FB06	7	8	5600	8	7155
5/3/2002	FB06	23	9	6300	7	4876
5/3/2002	FB06	25	14	9800	9	6990
5/3/2002	FB06	28	13	9100	12	9850
5/3/2002	FB06	32	12	8400	2	1264
5/3/2002	FC04	14	23	6900	18	6711
5/3/2002	FC04	17	28	8400	15	5874
5/3/2002	FC04	18	6	1800	7	2090
5/3/2002	FC04	28	4	1200	1	399
5/3/2002	FC04	1004	6	1800	15	4184
5/3/2002	LB08	13	10	9000	11	12061
5/3/2002	LB08	14	11	9900	12	11818
5/3/2002	LB08	28	5	4500	7	7325
5/3/2002	LB08	32	4	3600	2	2013
5/3/2002	LB08	1005	11	9900	4	3184
5/3/2002	LB08	1033	9	8100	9	9823
5/3/2002	LC06	7	7	4480	2	1360
5/3/2002	LC06	16	3	1920	23	15898
5/3/2002	LC06	18	20	12800	10	6660
5/3/2002	LC06	24	13	8320	13	9230
5/3/2002	LC06	28	10	6400	15	9177
5/3/2002	LC06	1004	15	9600	6	4996
5/3/2002	LC06	1020	15	9600	11	8965
5/3/2002	RB38	7	3	2640	3	3107
5/3/2002	RB38	17	14	12320	15	12976
5/3/2002	RB38	1005	19	16720	17	15522
5/3/2002	RB44	23	4	4600	12	14801
5/3/2002	RB44	25	14	16100	2	2639
5/3/2002	RB44	29	8	9200	14	15862
5/3/2002	RB44	1023	8	9200	4	5006
5/3/2002	RB44	1032	6	6900	6	6578
5/3/2002	RB44	1033	5	5750	10	9577
5/3/2002	RC27	1	11	5390	12	5337
5/3/2002	RC27	5	18	8820	25	13749
5/3/2002	RC27	16	5	2450	4	2207
5/3/2002	RC27	1032	11	5390	6	3533
5/3/2002	RC32	1	5	2950	12	6999
5/3/2002	RC32	2	2	1180	5	2717
5/3/2002	RC32	3	4	2360	7	4297
5/3/2002	RC32	9	8	4720	3	1608
5/3/2002	RC32	28	13	7670	4	2196
5/3/2002	RC32	1004	19	11210	17	8946
5/3/2002	RC32	1007	4	2360	2	1463
6/3/2002	AC08	14	1	510	14	7952
6/3/2002	AC08	15	14	7140	7	4160
6/3/2002	AC08	1000	1	510	12	5653
6/3/2002	FB04	1	13	6825	12	5832
6/3/2002	FB04	2	6	3150	2	943
6/3/2002	FB04	7	2	1050	7	2851
6/3/2002	FB04	13	5	2625	13	6241
6/3/2002	FB04	28	6	3150	9	3833
6/3/2002	FB04	32	8	4200	7	4077
6/3/2002	FB06	16	13	9100	7	5505
6/3/2002	FC04	3	12	3600	11	3884
6/3/2002	FC04	7	8	2400	11	2989
6/3/2002	FC04	25	10	3000	8	3402
6/3/2002	LB08	13	7	6300	12	10210
6/3/2002	LB08	14	10	9000	1	857
6/3/2002	LB08	1005	14	12600	22	19877
6/3/2002	LB08	1033	3	2700	10	7940
6/3/2002	LC06	23	12	7680	9	7368
6/3/2002	LC06	1007	2	1280	8	6923
6/3/2002	RB38	5	10	8800	3	2766
6/3/2002	RB38	24	20	17600	10	9035
6/3/2002	RB38	25	8	7040	5	5179
6/3/2002	RB38	28	15	13200	15	13362
6/3/2002	RB38	32	13	11440	12	9823
6/3/2002	RB38	1007	3	2640	8	6873
6/3/2002	RB38	1032	5	4400	8	6545
6/3/2002	RB44	3	8	9200	11	12979
6/3/2002	RB44	17	9	10350	1	1056
6/3/2002	RB44	23	9	10350	15	13563
6/3/2002	RB44	29	2	2300	3	3821
6/3/2002	RB44	1004	14	16100	14	13441
6/3/2002	RB44	1033	6	6900	5	4979
6/3/2002	RC27	13	2	980	4	2072
6/3/2002	RC27	14	4	1960	2	886
6/3/2002	RC27	24	3	1470	7	3297
6/3/2002	RC27	1005	7	3430	4	2293
6/3/2002	RC27	1032	7	3430	2	1163
6/3/2002	RC32	2	7	4130	10	6590
6/3/2002	RC32	9	10	5900	4	2349
6/3/2002	RC32	18	6	3540	21	12965
6/3/2002	RC32	24	4	2360	4	2775
6/3/2002	RC32	32	24	14160	5	3437
6/3/2002	RC32	1032	4	2360	1	658
7/3/2002	AC08	1	2	1020	3	1475
7/3/2002	AC08	1032	4	2040	9	4137
7/3/2002	FB04	9	8	4200	9	5196
7/3/2002	FB06	7	8	5600	12	8289
7/3/2002	FB06	18	3	2100	9	6898
7/3/2002	FB06	23	7	4900	8	5481
7/3/2002	FB06	25	9	6300	3	2125
7/3/2002	FB06	32	11	7700	12	8032
7/3/2002	FB06	1033	13	9100	3	2293
7/3/2002	FC04	28	15	4500	9	3751
7/3/2002	FC04	32	5	1500	1	328
7/3/2002	FC04	1023	10	3000	5	1487
7/3/2002	LB08	1	14	12600	9	10060
7/3/2002	LB08	9	9	8100	12	9077
7/3/2002	LB08	23	11	9900	31	25979
7/3/2002	LB08	32	3	2700	5	5368
7/3/2002	LB08	1004	2	1800	13	11200
7/3/2002	LB08	1032	7	6300	3	2591
7/3/2002	LC06	2	13	8320	10	6548
7/3/2002	LC06	15	7	4480	5	3580
7/3/2002	LC06	16	5	3200	2	1635
7/3/2002	LC06	29	9	5760	3	2308
7/3/2002	LC06	32	1	640	2	1591
7/3/2002	LC06	1005	10	6400	17	14197
7/3/2002	RB38	2	8	7040	11	11287
7/3/2002	RB38	6	5	4400	14	11988
7/3/2002	RB38	13	3	2640	13	13510
7/3/2002	RB38	14	11	9680	5	4634
7/3/2002	RB38	17	4	3520	14	12003
7/3/2002	RB38	32	15	13200	13	11465
7/3/2002	RB38	1033	2	1760	6	5413
7/3/2002	RB44	5	8	9200	14	17645
7/3/2002	RB44	28	7	8050	10	10730
7/3/2002	RB44	32	4	4600	1	1186
7/3/2002	RC27	9	7	3430	5	2509
7/3/2002	RC27	13	11	5390	13	5633
7/3/2002	RC27	14	11	5390	18	9225
7/3/2002	RC27	17	1	490	8	3685
7/3/2002	RC27	23	11	5390	6	2914
7/3/2002	RC27	24	15	7350	1	464
7/3/2002	RC27	28	8	3920	6	3349
7/3/2002	RC27	1005	5	2450	4	1707
7/3/2002	RC27	1032	3	1470	11	6405
7/3/2002	RC27	1033	9	4410	9	4957
7/3/2002	RC32	5	6	3540	6	3802
